customer_tweet_id,customer_msg,brand_reply,created_at
2652287,@130667 @AmazonHelp @115850 Will surely reach consumer court soon if this issue don't take any positive face here the delivery team was @149473 they might have stolen the product I am sure !!,@264061 Kindly provide your details through the link provided earlier so we can look into the issue and get back to you. ^SH,Sun Nov 19 07:48:08 +0000 2017
2306110,That moment when @115821 sends you something in a box that is three times too big for the thing that was sent. I got home and thought I accidentally ordered a TV. It was just a handheld back massager.,"@669038 Sorry for the trouble, Reese! We appreciate your feedback regarding the packaging of your order. When you have the chance, we'd like to hear more about this! Please provide more details here: https://t.co/wfG66DsMmF. ^VB",Mon Nov 13 00:16:06 +0000 2017
1772687,@AmazonHelp u charged me twice for the same thing shall i sue?,"@532784 We'd like to look into this for you. At your earliest convenience, reach us here: https://t.co/hApLpMlfHN ^LI",Wed Nov 08 02:00:42 +0000 2017
2679447,@AmazonHelp I've placed order over a week ago for in stock items. Items did not ship yet. Cannot get help over phone from customer service.,@753924 I'm so sorry for your experience! Have we missed the delivery date given at checkout? ^VF,Sun Nov 19 14:33:20 +0000 2017
129233,"My @115833 says its still learning about local business, @116935 is still to officially debut in India, but is still fun to play with. When r we getting full functionalities @115850 ?","@145097 There are 10,000 skills in Echo. Our programmers are still adding new features to the device. One of much more to come! We're excited, too!​ ^JS",Fri Nov 24 04:47:23 +0000 2017
176469,"Pay for one-day shipping from @116090, they sent with @916 who claims door was locked? Condo w 24/7 security. Moron driver is a lazy liar. No wonder Amazon has their own trucks, putting their brand in hands of companies who care less upsets their customers.",@157519 I'm sorry to hear this. We're happy to look into available options here: https://t.co/Q7Ftz6nj80 ^LI,Sat Nov 25 00:13:31 +0000 2017
1606339,@AmazonHelp Communicated on phone and  shared my pain but failed to get solution .,@493457 I'm sorry for that. Please fill in your details here: https://t.co/GIJyeYqKE0 and we'll get in touch with you right away. ^JC,Tue Oct 17 11:21:25 +0000 2017
1718671,"Signed up too @115821 prime for treated like crap, will cancel straight away terrible service #amazonsucks","@520357 I'm sorry for the poor experience! Without posting personal/account details, can you please tell us what's going on? ^JM",Tue Nov 07 04:10:38 +0000 2017
435110,@AmazonHelp I have messaged you all the details. Hope someone takes a notice of this.,@218356 Please share your details here: https://t.co/YceLKiPBZy I'll look into the issue and get back to you. ^SH,Wed Oct 11 06:06:17 +0000 2017
1520390,"@AmazonHelp わざわざ教えていただきありがとです

「配達」だからチャイム押して手渡しのアレかと思ってたですわ(´･ω･ `)

防犯の観点とかでもそうしてくれると思ってたし……（古いアパートのポストだから持っていこうと思えばできる）",@472638 現状当サイトの配送ステータスでは「メール便」の場合でも配達完了と記載がございまして、わかりづらく申し訳ございません。今後サービスの改善に努めてまいります。HM,Sun Oct 22 10:54:04 +0000 2017
2287106,Recomendo The Night Manager da @116618,@664511 Obrigado pela indicação Luiz! Um abraço! ^JJ,Sat Nov 11 23:48:26 +0000 2017
2858154,@AmazonHelp do you really think it's OK to leave a cardboard box on a door step in the rain? https://t.co/HPDx93Cfvt,"@435311 Oh no! I'm sorry your package was left in the rain. When you have a moment, please reach out to us here to provide carrier feedback: https://t.co/JzP7hlA23B ^EA",Mon Nov 27 21:54:21 +0000 2017
2392605,"@AmazonHelp The order is listed on my screen as ""preparing dispatch"" and ""delivering today"". When I click on the order, it says ""delivered""... That doesn't mean much to me. I was told to re-order and I'd receive a refund for the original order. No refund yet though. #confused",@688995 Have you received an e-mail confirming your refund? Refunds typically take 5-7 business days to process to your original payment method. ^AB,Tue Nov 14 13:46:20 +0000 2017
2260515,@AmazonHelp Spoke to a supervisor still have to wait 48hours to even know if one will be resent then I have to for delivery again very disappointed,@484820 I'm sorry for the disappointment. Keep us posted on the outcome with your order. ^EA,Sat Nov 11 02:48:49 +0000 2017
970879,@115850 Please Refund ASAP I Have to order for Diwali   ORDER # 405-7452092-0382728,"@350364 so that we can get in touch with you. Please don’t provide your order details, we consider them as personal information. ^VM",Sat Oct 14 05:27:52 +0000 2017
480484,"Worst service given by @AmazonHelp to a loyal customer . After confirming multiple times on phone, late delivery + fake apple earpods received + Amazon India didn't even try to solve the problem.tryna get off by offering a refund. WTH!ORDER # 402-0613828-2246733. I need original.","@229188 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly.
Please don't provide your order details as we consider it personal information. Our twitter page is visible to public. ^CB",Fri Dec 01 13:02:49 +0000 2017
885614,Sigo esperando un pedido de @116928 que me trae Correos Express pero me da que no va a llegar...,"@330286 Lamento el inconveniente, me podrías informar ¿Cuál es la fecha estimada de entrega de tu pedido? ^AZ",Fri Oct 13 17:00:10 +0000 2017
2675626,@AmazonHelp Danke für die Antwort! Ich konnte das Anliegen schon mit eurem Kundendienst klären.,"@123498 Schön zu hören, Jeremias. Wünsche dir noch einen schönen Feiertag. Gruß ^JS",Tue Oct 31 14:38:46 +0000 2017
577684,@AmazonHelp It says I need to contact you with more address details. I did this yesterday even though the address was fine. Mark from Amazon called me and said it would be here by 10am today. Instead his email says by 3rd. All a load of lies to fob me off,"@255988 Hi Ross, I'm sorry about the problems. We can't access order information over Twitter, but could you please contact us again so that we can check on the status of the order for you? You can reach us here: https://t.co/oGDklGgbCZ.^PJ",Sun Dec 03 10:18:05 +0000 2017
2427461,"@AmazonHelp Resuelto, gracias!","@472337 ¡Nos alegra saber que el problema fue resuelto, Johnny! En caso de necesitar asistencia en el futuro, no dudes en contactarnos de nuevo. ¡Saludos! ^CR",Tue Nov 14 22:05:55 +0000 2017
1464282,@115850 @AmazonHelp  Order# 408-9863763-1429137 will my order be shipped or not?,"@459871 order has passed? Please don't provide your details, we consider it personal info. Our page is visible to public. 2/2 ^HD",Thu Nov 02 18:51:06 +0000 2017
428622,Haven't received my delivery yet despite which got the delivery confirmation message!! @115850 I have NOT signed anywhere. https://t.co/Bc2vVLS6Ss,"@216946 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^KS 2/2",Tue Oct 10 13:27:51 +0000 2017
1507942,@AmazonHelp @116928 Ok. Gracias! Al no actualizarse desde 2014 pensaba que estaba verificada por error. :),"@469993 Con gusto, Borja. Estamos para brindarte asistencia cuando lo necesites. ¡Saludos! ^LG",Fri Nov 03 13:50:51 +0000 2017
294243,@AmazonHelp When?,"@185733 Incase you haven't received any email, please share your details here: https://t.co/GIJyeYqKE0. 2/2^HN",Sat Oct 07 12:03:50 +0000 2017
2467647,"@115830 My Prime order was due for delivery by 9pm today.Been in all day waiting, and no delivery. Disappointed.",@706055 I'm very sorry for this delay with your order's delivery. Let us look into this with you here: https://t.co/JzP7hlA23B ^DO,Sun Oct 29 21:00:15 +0000 2017
998175,@115821 i have been getting charged $5 every month for amazon freetime. I have no idea what it is. Help? Lol,@356362 Hi Phil. Please get in touch with us here: https://t.co/hApLpMlfHN and we'll investigate this for you. ^RL,Sat Oct 14 12:08:34 +0000 2017
2881291,@AmazonHelp I am not going to report anyone .its your responsibilty.i will directly report to CEO,"@799502 I get you being disappointed about the order you received; certainly not an intended experience. We'd like to sort this for you, please share your details here: https://t.co/GIJyeYqKE0. We'll check and reach out to you with an update. ^VN",Tue Nov 28 09:16:09 +0000 2017
2934419,@AmazonHelp yesterday morning I called to amazon regarding my 75 rs cashback. They told me please wait till evening. But I am not received.,@803283 As this is a social media platform we can't view your account details. Please share your details from the link here: https://t.co/VNUITkunAc and we will assist you further with an update. ^HR,Thu Nov 30 04:55:36 +0000 2017
95448,"Is it possible to have multiple @115833 devices in different physical locations? For example, having one at my office, but it's still linked to the same account I use at home?","@136753 Hi, can you contact our Echo support team directly via the following link and they can look into this for you:  https://t.co/hApLpMlfHN ^KI",Thu Nov 30 15:44:12 +0000 2017
682500,@AmazonHelp Your support is pathetic. Even a electronics store would return or replace a defective TV on the day of delivery,@282889 We have already answered this query here : https://t.co/QC1ag5mNyt . Please check.^RI,Sat Oct 21 12:15:09 +0000 2017
1343546,@116875  auxilio..! Llevo  días y no recibo mi pedido..😭,"@433352 Hola, lamento el atraso en la entrega, Raybet. ¿Cuál es la fecha estimada de entrega de tu pedido? ^LG",Fri Oct 27 16:26:12 +0000 2017
2290916,"@5503 @118919 When will be ""Voice Profiles"" supported in India for Amazon Alexa devices?",@665421 We haven't announced anything yet. Kindly stay tuned. ^PS,Sun Nov 12 09:12:02 +0000 2017
1525974,Anyone else STILL waiting for their copy of Wonder Woman Warbringer from Amazon?? Mines 3 months late!,@142335 I'm so sorry for the delay! We'd like to look into this with you. Please reach us here: https://t.co/JzP7hlA23B ^AG,Fri Nov 03 21:42:27 +0000 2017
2874049,#USPS thank you for running my day by not even giving an update to #Amazon about my delivery. Now it's in the cloud until it hopefully arrives. This is extremely annoying cause you just stalled my work. Not even a call!! Well played.,"@255136 Oh Franklyn, I'm so sorry you didn't receive your delivery. When was it expected to arrive? You can confirm here: https://t.co/Y5jpI9gRhE. Have you had a chance to reach out to USPS or us via phone?  If not, you can reach out to us here: https://t.co/hApLpMlfHN ^SY",Tue Nov 28 04:22:58 +0000 2017
2964073,"Lo que aproveché del #CyberMonday 😃 

#DCComics #HarleyQuinn @116875 https://t.co/bFmJwdOqzV","@817838 ¡Ufffffff, pero qué bien Murciélago! ¿Ya lo estás leyendo? ^JJ",Wed Nov 29 21:42:24 +0000 2017
1387716,@AmazonHelp La photo parle d'elle même. L'emballage est zero associée à une méthode de livraison zero. Je vous laisse deviner la note d'evaluation.,@442883 Nous avons répondu à votre DM. ^SM,Sat Oct 28 10:36:29 +0000 2017
2500815,Love you @115821 ☺️,@713410 😁😍 ^MW,Wed Nov 15 19:11:53 +0000 2017
2107286,@621847 I tried in both Amazon US &amp; India. Anyway looking forward for new edition https://t.co/ODSNyt1MSW,@621846 I understand that you are looking for this product and upon checking the details I see that it is available as a paperback version. You may refer to this link for more info : https://t.co/yIa97imHTB. ^PR,Sun Nov 26 12:35:29 +0000 2017
637284,@AmazonHelp bjr si je commande quelque chose sur votre site avec une carte bancaire est ce que vous enverrez une  de commande par SMS ?,"@222203 Bonsoir, parlez-vous de la confirmation de commande? ^BR",Wed Nov 22 18:03:04 +0000 2017
2450590,Well @115821 somehow “two day shipping” has become three days #PrimemarilyLate,@702302 Sorry for the frustrations! Have we missed the delivery date given in the order confirmation email you received? ^AD,Sun Oct 29 16:45:43 +0000 2017
1545724,@AmazonHelp You're really not following me. Go back and read this thread. I can't even get CS to call me.,@478710 Does this not work either? https://t.co/d4UjtG6jxX ^AT,Sat Nov 04 10:27:25 +0000 2017
2715195,@115821 Standing corner sent in a packet. V r asked to install it urself by Amazon or give 500/- more to dealer.Poor response. Order ID 171-5361855-2903568,@762201 I'd like to understand this better. Please provide your details here: https://t.co/w1vuCSRcLh and I'll get back to you. Please don’t provide your details as we consider them to be personal information. Our Twitter page is public.  ^SH,Mon Nov 20 04:51:26 +0000 2017
435697,"@AmazonHelp Obrigado, time!","@218496 Magina, Douglas! Caso precisar assistência adicional, é só perguntar. ☺️ ^LG",Tue Oct 10 18:22:53 +0000 2017
803831,"@115850 what a super fast service, ordered the product yesterday and received it today..... Jumbo speed 😊👍",@311566 Great to hear that. Happy shopping. 🙂 ^ST,Sun Oct 08 08:52:35 +0000 2017
1387696,アマゾンで注文ミスったｗｗｗｗｗクッソｗｗｗｗ請求２倍なんてことないよな？？不安すぎる,@442879 リプライ失礼します、アマゾン公式です。当サイトのご利用について、何かお困りでしょうか。ET,Sat Oct 28 09:57:23 +0000 2017
